,bias,message,label,text,Name,Last Name,Party,Party_Bias,Party_Message
20,neutral,support,From: Michael Crapo (Senator from Idaho),A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv,Michael Crapo,Crapo,R,R-neutral,R-support
21,neutral,other,From: Orrin Hatch (Senator from Utah),"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon",Orrin Hatch,Hatch,R,R-neutral,R-other
22,neutral,policy,From: Niki Tsongas (Representative from Massachusetts),RT if you agree: It's time to #ActOnClimate change  Õ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ,Niki Tsongas,Tsongas,D,D-neutral,D-policy
26,neutral,personal,From: Steve Womack (Representative from Arkansas),Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.,Steve Womack,Womack,R,R-neutral,R-personal
27,partisan,attack,From: Randy Hultgren (Representative from Illinois),Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7,Randy Hultgren,Hultgren,R,R-partisan,R-attack
28,partisan,policy,From: Bob Casey (Senator from Pennsylvania),Slashing AmtrakÛªs funding by 1/3 at a time of increasing ridership will hurt PAÛªs economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr,Bob Casey,Casey,D,D-partisan,D-policy
29,neutral,information,From: Steve Daines (Representative from Montana),"American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR",Steve Daines,Daines,R,R-neutral,R-information
30,partisan,attack,From: John Fleming (Representative from Louisiana),"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ",John Fleming,Fleming,R,R-partisan,R-attack
32,partisan,information,From: Sander Levin (Representative from Michigan),Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz,Sander Levin,Levin,D,D-partisan,D-information
33,partisan,personal,From: Mitch McConnell (Senator from Kentucky),"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP",Mitch McConnell,McConnell,R,R-partisan,R-personal
35,neutral,information,From: Martha Roby (Representative from Alabama),"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab",Martha Roby,Roby,R,R-neutral,R-information
36,neutral,policy,From: C.A. Dutch Ruppersberger (Representative from Maryland),$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX,C.A. Dutch Ruppersberger,Ruppersberger,D,D-neutral,D-policy
40,partisan,policy,From: Debbie Wasserman Schultz (Representative from Florida),"#Florida is ""tale of what went right with President Barack Obama's health care overhaulÛ despite GOP opposition: http://t.co/bhsAcU3Wje",Debbie Wasserman Schultz,Schultz,D,D-partisan,D-policy
41,neutral,mobilization,From: Kurt Schrader (Representative from Oregon),"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight",Kurt Schrader,Schrader,D,D-neutral,D-mobilization
42,neutral,support,From: Vern Buchanan (Representative from Florida),FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5,Vern Buchanan,Buchanan,R,R-neutral,R-support
44,partisan,policy,From: Mark Pocan (Representative from Wisconsin),"Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C",Mark Pocan,Pocan,D,D-partisan,D-policy
47,neutral,information,From: Steny Hoyer (Representative from Maryland),"For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1",Steny Hoyer,Hoyer,D,D-neutral,D-information
48,neutral,personal,From: Cory Booker (Senator from New Jersey),Is that delight or terror MT @LyndaWoolard Can u see my delight when Cory taught me how 2 take a selfie in yesterday? http://t.co/GJd2pmcMOY,Cory Booker,Booker,D,D-neutral,D-personal
49,neutral,information,From: Chaka Fattah (Representative from Pennsylvania),"RT @AAAS_News: ""Basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #OpEd http://Û_",Chaka Fattah,Fattah,D,D-neutral,D-information
50,neutral,support,From: Heidi Heitkamp (Senator from North Dakota),Promising @FannieMae is paying back more $ to US taxpayers. Reinforces 5 yrs after crash we need #GSEreform to help prevent another bailout,Heidi Heitkamp,Heitkamp,D,D-neutral,D-support
51,partisan,policy,From: Edward Markey (Senator from Massachusetts),#KXL oil export strategy makes US a middle man &amp; worsens #climatechange.Senate shld reject it http://t.co/Z8fiHvgckO http://t.co/p4pk9gfw4r,Edward Markey,Markey,D,D-partisan,D-policy
52,partisan,policy,From: Mitch McConnell (Senator from Kentucky),WTVW-TV report: McConnell sponsors Sunscreen Innovation Act (+playlist): http://t.co/J0yooWhFTR #Kentucky,Mitch McConnell,McConnell,R,R-partisan,R-policy
54,neutral,personal,From: Cory Gardner (Representative from Colorado),Congrats to the #coleg - last day of session.,Cory Gardner,Gardner,R,R-neutral,R-personal
55,partisan,attack,From: Ileana Ros-Lehtinen (Representative from Florida),DemandarÌÁ Obama un recuento en #Venezuela? Creo q deberÌ_a. Lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmJLBKzh,Ileana Ros-Lehtinen,Ros-Lehtinen,R,R-partisan,R-attack
57,neutral,information,From: Adam Schiff (Representative from California),ICYMI: I spoke with @WolfBlitzer tonight about the #SonyHack &amp; North Korea. http://t.co/PRvJK3Nb3C,Adam Schiff,Schiff,D,D-neutral,D-information
58,neutral,support,From: Doug Lamborn (Representative from Colorado),Hosting the #Colorado30 Group today on the Hill. Strengthening connections with CO  leaders on national defense. http://t.co/wJP0yUN2AF,Doug Lamborn,Lamborn,R,R-neutral,R-support
61,neutral,information,From: Kyrsten Sinema (Representative from Arizona),"Come get help w/fed agencies at Mobile Office Hrs: Th, 11am-12:30pm, Acacia Library (750 E. Townley Ave, Phx). http://t.co/83jgOjKirc",Kyrsten Sinema,Sinema,D,D-neutral,D-information
62,partisan,policy,From: Kevin McCarthy (Representative from California),The Obama economy just isnÛªt cutting it for hardworking Americans  Õ http://t.co/yagUZrvj6i,Kevin McCarthy,McCarthy,R,R-partisan,R-policy
64,neutral,media,From: Robert Goodlatte (Representative from Virginia),Joining the @FoxMorningNews in Roanoke just after 8AM. Hope you'll tune in! #VA06 #rke,Robert Goodlatte,Goodlatte,R,R-neutral,R-media
65,neutral,information,From: Billy Long (Representative from Missouri),"RT @jaketapper: Pentagon:  Sgt. Stephen New, 29, of Bartlett, TN, died July 28 in Bagram after unit was attacked by small arms fire http://Û_",Billy Long,Long,R,R-neutral,R-information
67,partisan,personal,From: Mario Diaz-Balart (Representative from Florida),Can it be any clearer? Lerner and #IRS were covering their tracks! http://t.co/C2P3NsOkP9,Mario Diaz-Balart,Diaz-Balart,R,R-partisan,R-personal
68,neutral,personal,From: Brian Higgins (Representative from New York),Hear my recent discussion on #Syria with IrelandÛªs @rtenews (begins at 5:45):   http://t.co/vKeyErEUj4,Brian Higgins,Higgins,D,D-neutral,D-personal
69,partisan,attack,From: Roy Blunt (Senator from Missouri),RT to tell President Obama the buck stops with him. http://t.co/n8t627WxCn #IRS #IRSscandal #Benghazi,Roy Blunt,Blunt,R,R-partisan,R-attack
70,partisan,policy,From: Bernard Sanders (Senator from Vermont),"Must Read: How to get a raise at McDonaldÛªs - @HaroldMeyerson, @WashingtonPost: http://t.co/zh4cva5Txz #StrikeFastFood",Bernard Sanders,Sanders,I,I-partisan,I-policy
71,neutral,information,From: Yvette Clarke (Representative from New York),The number of people signing up for health insurance continues to increase.,Yvette Clarke,Clarke,D,D-neutral,D-information
72,neutral,information,From: Michael McCaul (Representative from Texas),RT @HouseHomeland: ICYMI: Chairman @McCaulPressShop on @CBSThisMorning on the #Boston bombing investigation and yesterday's hearing: http:/Û_,Michael McCaul,McCaul,R,R-neutral,R-information
73,neutral,personal,From: Daniel Lipinski (Representative from Illinois),Thanks to @MayorNoak and #WillCounty Larry Walsh for joining me @LewisUniversity Airport for today's good news. http://t.co/txSt4JgJEl,Daniel Lipinski,Lipinski,D,D-neutral,D-personal
74,neutral,support,From: Nita Lowey (Representative from New York),Thoughts &amp; prayers are w/ the families of the 3 innocent Israeli teens. Abbas must denounce terrorism &amp; bring those responsible to justice,Nita Lowey,Lowey,D,D-neutral,D-support
77,neutral,personal,From: Tom Rooney (Representative from Florida),Don't forget to cast your vote #FL17 Congressional Art Competition. Winner will hang in US Capitol https://t.co/hRHzBBGi8W #sayfie,Tom Rooney,Rooney,R,R-neutral,R-personal
79,neutral,information,From: Jeanne Shaheen (Senator from New Hampshire),Senate passes #VAWA reauthorization in vote of 78-22,Jeanne Shaheen,Shaheen,D,D-neutral,D-information
80,neutral,information,From: John Shimkus (Representative from Illinois),Attending the State of the Union. http://t.co/nKfjFwzz,John Shimkus,Shimkus,R,R-neutral,R-information
82,neutral,personal,From: John Barrasso (Senator from Wyoming),Was an honor &amp; a privilege to visit &amp; thank @WYOguard troops stationed in #Bahrain this 4th of July weekend. http://t.co/rX1RdulMYx,John Barrasso,Barrasso,R,R-neutral,R-personal
83,partisan,personal,From: Amy Klobuchar (Senator from Minnesota),Senate will be done but mess inHouse:Republican hardliners block strategy to avoid shutdown  @washingtonpost http://t.co/ARxkbe8bbk,Amy Klobuchar,Klobuchar,D,D-partisan,D-personal
84,neutral,policy,From: Raul Ruiz (Representative from California),ICYMI: I talked to @MyDesert about how Congress will have to work together to pass a strong #CIR bill in the House http://t.co/1syj2GeV4c,Raul Ruiz,Ruiz,D,D-neutral,D-policy
85,partisan,attack,From: Richard Burr (Senator from North Carolina),Parents want to know their kids are in a safe place w/ qualified providers. CCDBG is essential 4 #ChildCareProtection http://t.co/WXfvAgfe2L,Richard Burr,Burr,R,R-partisan,R-attack
87,neutral,information,From: Bill Cassidy (Representative from Louisiana),"""Landrieu still has only about a 1-in-3 chance of winning even when her incumbent status is included"" http://t.co/dTCGtHynv8 #LASEN",Bill Cassidy,Cassidy,R,R-neutral,R-information
89,neutral,personal,From: Tim Walz (Representative from Minnesota),"So very sad to hear about the passing of Jim Ragsdale. He was a true professional &amp; a kind soul.  Jim, you will be missed greatly.",Tim Walz,Walz,D,D-neutral,D-personal
91,neutral,other,From: Patrick Leahy (Senator from Vermont),"PHOTO: Joined ""World's Most Interesting Man"" (from America's Most Interesting State) @ #landmines event on Cap. Hill http://t.co/6cVbofvNLu",Patrick Leahy,Leahy,D,D-neutral,D-other
92,neutral,media,From: Jim Langevin (Representative from Rhode Island),"W/RI Cong delegation, Mayors, police, @tenygross &amp; families affected by guns to present unified voice on gun safety http://t.co/9e78ICsvOq",Jim Langevin,Langevin,D,D-neutral,D-media
93,neutral,support,From: Niki Tsongas (Representative from Massachusetts),Congrats @Hanscom_AFB C-IED Team! Their work on detecting &amp; destroying IEDs earned the Theodore von Karman Award http://t.co/2wOiL3arPt,Niki Tsongas,Tsongas,D,D-neutral,D-support
95,neutral,personal,From: Barbara Mikulski (Senator from Maryland),Mandela. Chg. South Africa chg the world. Inspired hearts n minds of millions of us. Condolences to his family n south african people,Barbara Mikulski,Mikulski,D,D-neutral,D-personal
96,neutral,personal,From: Jim Himes (Representative from Connecticut),"Got a mess of oysters and clams out on Sound this morning. These guys have a rendezvous with white wine, fresh garlic, shallots and pepper.",Jim Himes,Himes,D,D-neutral,D-personal
97,neutral,mobilization,From: Lois Frankel (Representative from Florida),RT if you think America succeeds when #WomenSucceed http://t.co/uBQRhIKuvg,Lois Frankel,Frankel,D,D-neutral,D-mobilization
98,neutral,information,From: Adam Kinzinger (Representative from Illinois),Tips for staying warm should you be outside this week helping clean after recent storms via the Coal City Courant: http://t.co/j5hwgEkIdP,Adam Kinzinger,Kinzinger,R,R-neutral,R-information
99,neutral,media,From: David Schweikert (Representative from Arizona),RT @kevinscholla: My interview w/@RepDavid Schweikert on @SarahNETRadio! Huge meeting coming up w/constituents! http://t.co/Pf2edk5kxG Û_,David Schweikert,Schweikert,R,R-neutral,R-media
100,neutral,personal,From: Vicky Hartzler (Representative from Missouri),"St. Robert Community Center, 114 JH Williamson Dr. In St. Robert (2 of 3)",Vicky Hartzler,Hartzler,R,R-neutral,R-personal
101,neutral,support,From: Scott Perry (Representative from Pennsylvania),Joining @RobbHanrahanCBS on Face the State on @CBS21NEWS around 11:30 this morning to talk about #Ebola. http://t.co/WCqg6KpPF5,Scott Perry,Perry,R,R-neutral,R-support
102,neutral,personal,From: Martha Roby (Representative from Alabama),"In the hustle and bustle of the holidays (and don't forget its also Iron Bowl week), I know its easy to get distracted.",Martha Roby,Roby,R,R-neutral,R-personal
103,neutral,personal,From: John Boehner (Representative from Ohio),"Great to see -- @johnerardi says, ""Ted Kremer will be @Reds' batboy tonight"" http://t.co/mmmBPMLauQ",John Boehner,Boehner,R,R-neutral,R-personal
105,partisan,policy,From: Phil Roe (Representative from Tennessee),Now is the Time to Balance the Budget http://t.co/AaOKH9gG,Phil Roe,Roe,R,R-partisan,R-policy
106,neutral,support,From: Michael Crapo (Senator from Idaho),Welcome to @SenateBanking @Sen_JoeManchin @elizabethforma @SenatorHeitkamp @TomCoburn &amp; @SenDeanHeller. Look fwd to working with all of you.,Michael Crapo,Crapo,R,R-neutral,R-support
107,neutral,personal,From: Randy Hultgren (Representative from Illinois),"April is Sexual Assault Awareness Month. According to @RAINN01, 60% of sexual assaults are not reported to police. #StandUp #SAAM",Randy Hultgren,Hultgren,R,R-neutral,R-personal
108,neutral,support,From: Peter Roskam (Representative from Illinois),House GOP r focused on pro-growth bills #4jobs. ItÛªs time #SenateDems act on these bills so ppl can get back 2 work http://t.co/DJSsQxyUrC,Peter Roskam,Roskam,R,R-neutral,R-support
109,neutral,media,From: Debbie Wasserman Schultz (Representative from Florida),.@kerrywashington Congrats on @ELLEmagazine cover! So excited for you! #girlpower,Debbie Wasserman Schultz,Schultz,D,D-neutral,D-media
110,neutral,media,From: Bob Corker (Senator from Tennessee),#SFRC hearing today at 10:00 a.m. ET with Secretary Kerry. Watch live: http://t.co/Ay1KZ8x97x,Bob Corker,Corker,R,R-neutral,R-media
111,partisan,policy,From: Erik Paulsen (Representative from Minnesota),For 3 mos. the IRS failed to tell Congress they couldn't provide Lerner emails. My speech abt need for accountability:http://t.co/spq6b3D5nW,Erik Paulsen,Paulsen,R,R-partisan,R-policy
113,partisan,support,From: Pat Roberts (Senator from Kansas),Thanks to the Pawnee County folks who turned out to the Town Hall meeting in Larned. These folks areÛ_ http://t.co/sqsEF5p5vL,Pat Roberts,Roberts,R,R-partisan,R-support
114,partisan,attack,From: Robert Pittenger (Representative from North Carolina),.@theobserver editors agree the President's admin earned their reputation for obfuscation &amp; disregard for failures http://t.co/mpotP2fw1k,Robert Pittenger,Pittenger,R,R-partisan,R-attack
115,partisan,attack,From: Mark Meadows (Representative from North Carolina),It's time the Obama Admin answer to the American people on #Benghazi. Four Americans were murdered and no one has been held accountable.,Mark Meadows,Meadows,R,R-partisan,R-attack
117,partisan,policy,From: John Boehner (Representative from Ohio),"Vets groups, editorials, Democrats agree: more funding äÊ more #VAaccountability http://t.co/9i3lXJxzaC",John Boehner,Boehner,R,R-partisan,R-policy
118,neutral,personal,From: Eleanor Norton (Representative from NA),"Looking for Job? Help me, help residents looking for a job. Participate in our Roundtable on Unemployment. Call my Office at 202-408-9041.",Eleanor Norton,Norton,D,D-neutral,D-personal
119,neutral,personal,From: Joe Barton (Representative from Texas),Traveling 6th District! Spent Tues speaking to @fwhcc &amp; awarding Ryan Esplin the TDF Foundation Veterans Scholarship https://t.co/JYLQNqaMwJ,Joe Barton,Barton,R,R-neutral,R-personal
120,neutral,constituency,From: John Culberson (Representative from Texas),Great crowd at the town hall tonight. Thanks to all those who came out and asked questions. http://t.co/ne0OdbFo8u,John Culberson,Culberson,R,R-neutral,R-constituency
121,partisan,policy,From: Chris Van Hollen (Representative from Maryland),Almost one year since the Senate passed comprehensive immigration reform. The #TimeIsNow for the House to act! http://t.co/seSuk4jjwG,Chris Van Hollen,Hollen,D,D-partisan,D-policy
122,neutral,policy,From: Todd Rokita (Representative from Indiana),I am deeply concerned by and condemn the over 400 rocket attacks launched by Hamas against Israel. http://t.co/cUa9vEK9pq,Todd Rokita,Rokita,R,R-neutral,R-policy
123,partisan,policy,From: Ileana Ros-Lehtinen (Representative from Florida),"RT @UANI: The only vote that counts in the #iranelection today: that of the unelected ""Supreme Leader"" http://t.co/a3acacQqrh",Ileana Ros-Lehtinen,Ros-Lehtinen,R,R-partisan,R-policy
124,partisan,attack,From: Dana Rohrabacher (Representative from California),@ladybigmac @SpeakerBoehner @virginiafoxx @RepTomReed @KeithRothfus @RepKevinCramer Yep Obama uses fed agencies against political opponents,Dana Rohrabacher,Rohrabacher,R,R-partisan,R-attack
125,partisan,media,From: Donna Edwards (Representative from Maryland),"@gillespie_r6 let's not make the same mistake in the future by appreciating fully what happened. Yes, let's move forward, but facts matter.",Donna Edwards,Edwards,D,D-partisan,D-media
126,neutral,support,From: Maria Cantwell (Senator from Washington),Congratulations to Sally Jewell for being officially sworn in as the new @Interior secretary: http://t.co/Zi07xEh0gd,Maria Cantwell,Cantwell,D,D-neutral,D-support
127,neutral,support,From: Tammy Baldwin (Senator from Wisconsin),Our #MadeInWI economy is always cooking up something good! Check out @MadisonCollege's new culinary training center. http://t.co/19lRCCwwpp,Tammy Baldwin,Baldwin,D,D-neutral,D-support
129,neutral,information,From: Pat Meehan (Representative from Pennsylvania),#Delco County Council Chairman Tom McGarrigle has declared a #weather-related State of Emergency,Pat Meehan,Meehan,R,R-neutral,R-information
130,neutral,support,From: Michael Fitzpatrick (Representative from Pennsylvania),"Today, I held an Autism round table at Peaceful Living in New Britain. Great dialog between local groups in the... http://t.co/qpFmEVzMm3",Michael Fitzpatrick,Fitzpatrick,R,R-neutral,R-support
131,neutral,support,From: Betty McCollum (Representative from Minnesota),Thanks @ONEcampaign for visiting my St. Paul staff &amp; for all the great work you do fighting global #poverty &amp; #hunger http://t.co/xCsocfoEwc,Betty McCollum,McCollum,D,D-neutral,D-support
132,neutral,policy,From: Mike Pompeo (Representative from Kansas),"#ProDDEnergy Here's the thing: Oil &amp; wind don't compete. Yet @Stabenow said this morning that ""wind needs to catch up.""",Mike Pompeo,Pompeo,R,R-neutral,R-policy
133,neutral,policy,From: Richard Blumenthal (Senator from Connecticut),I'll continue working for strong bipartisan comprehensive #immigrationreform plan including #DREAMAct w support of groups like @CT4aDREAM,Richard Blumenthal,Blumenthal,D,D-neutral,D-policy
134,neutral,policy,From: Kelly Ayotte (Senator from New Hampshire),Need to find most effective ways to address this #addiction crisis so that people like the Griffins know where to go to get help,Kelly Ayotte,Ayotte,R,R-neutral,R-policy
135,partisan,attack,From: Dan Benishek (Representative from Michigan),"The President must never be able to make unilateral decisions about enforcing some laws, but not others. http://t.co/cVaIt2em3X",Dan Benishek,Benishek,R,R-partisan,R-attack
136,partisan,attack,From: Mitch McConnell (Senator from Kentucky),"President Obama missed this yearÛªs legal deadline to submit a budget to Congress, just like he has nearly every year of his presidency.",Mitch McConnell,McConnell,R,R-partisan,R-attack
137,partisan,policy,From: C.A. Dutch Ruppersberger (Representative from Maryland),".@DeltaDiva3 One idea is to allow students to pay the same rate on govt loans as big banks, which are currently about 0.75% #AskDems",C.A. Dutch Ruppersberger,Ruppersberger,D,D-partisan,D-policy
140,neutral,information,From: Todd Rokita (Representative from Indiana),"Yesterday, I shared JanetÛªs story on the House Floor. http://t.co/s1kYR2TZ9f",Todd Rokita,Rokita,R,R-neutral,R-information
141,neutral,personal,From: AndrÌ© Carson (Representative from Indiana),@SenDanCoats Great movie!,AndrÌ© Carson,Carson,D,D-neutral,D-personal
142,neutral,personal,From: Ann Wagner (Representative from Missouri),Honored to spend time with employees at Boeing last night to celebrate their long history of service to our country. http://t.co/WDeQG0odmO,Ann Wagner,Wagner,R,R-neutral,R-personal
143,neutral,personal,From: John Cornyn (Senator from Texas),"Meeting with my friend Governor Perry this morning, who is in town to address CPAC",John Cornyn,Cornyn,R,R-neutral,R-personal
144,neutral,media,From: John Hoeven (Senator from North Dakota),TUNE IN starting @ 9:30am CT for live video of USS North Dakota christening ceremony http://t.co/XynmDj6Jx5 or http://t.co/yEsSJbsVTf,John Hoeven,Hoeven,R,R-neutral,R-media
146,neutral,personal,From: Robert Wittman (Representative from Virginia),"My sympathy and my prayers go out to the families of the victims, and the Quantico community.",Robert Wittman,Wittman,R,R-neutral,R-personal
148,neutral,support,From: Barbara Boxer (Senator from California),"#RyanBudget hurts everyone in this country. When it comes to Medicare, it hurts seniors on the program now and seniors in the future.",Barbara Boxer,Boxer,D,D-neutral,D-support
149,neutral,support,From: Dean Heller (Senator from Nevada),Always great to see Senator Richard Bryan. #HomeMeansNevada #BattleBorn http://t.co/KsBvjCADny,Dean Heller,Heller,R,R-neutral,R-support
150,neutral,policy,From: Jerry McNerney (Representative from California),At the @AntiochPolice 47th neighborhood cleanup working to keep #Antioch &amp; #CA9 clean http://t.co/OxzGMnIcjl,Jerry McNerney,McNerney,D,D-neutral,D-policy
151,neutral,information,From: Tom Cotton (Representative from Arkansas),3 Arkansas counties have been designated as federal disaster areas. My statement: http://t.co/nUBElBgdft,Tom Cotton,Cotton,R,R-neutral,R-information
152,partisan,policy,From: Mike Coffman (Representative from Colorado),ICYMI -  @USATODAY on legislation I introduced to improve research for Veterans struggling with Gulf War Illnesses http://t.co/STy3E46t8B,Mike Coffman,Coffman,R,R-partisan,R-policy
153,neutral,policy,From: Paul Tonko (Representative from New York),We're running out of time to renew the Highway Trust Fund. It's time to act: http://t.co/q4oDVjtPTE  http://t.co/YuI9XOFjOA,Paul Tonko,Tonko,D,D-neutral,D-policy
154,partisan,policy,From: Benjamin Cardin (Senator from Maryland),".@AtHomePundit CR isnt good policy bc we cant adjust spending levels, but its better than shutting down gov. We shld return to regular order",Benjamin Cardin,Cardin,D,D-partisan,D-policy
156,neutral,support,From: Larry Bucshon (Representative from Indiana),Enjoyed it! ÛÏ@AttyAbdul: Good chat with @RepLarryBucshon @93wibc. Up next @MayorBallardÛ,Larry Bucshon,Bucshon,R,R-neutral,R-support
157,neutral,support,From: Ileana Ros-Lehtinen (Representative from Florida),"LetÛªs thank our #Veterans 4 their service + sacrifice! Ceremony, parade + picnic Tue Nov 11 @ 11AM http://t.co/MqHLr1WzEY",Ileana Ros-Lehtinen,Ros-Lehtinen,R,R-neutral,R-support
158,partisan,personal,From: Richard Burr (Senator from North Carolina),I hope Senate Dems will seriously consider this amdt &amp; will not throw our veterans &amp; unemployed under the bus. http://t.co/AfMklJ30LP,Richard Burr,Burr,R,R-partisan,R-personal
159,partisan,policy,From: Ileana Ros-Lehtinen (Representative from Florida),Admin reached deal w the man who bragged of advancing #nukes prgrm thru deception. I remain skeptical. #NKorea all over again.,Ileana Ros-Lehtinen,Ros-Lehtinen,R,R-partisan,R-policy
160,partisan,attack,From: Darrell Issa (Representative from California),Breaking the Silence on the IRS Outrage: http://t.co/bX27ADwu2O via @NewYorkObserver #IRStargeting,Darrell Issa,Issa,R,R-partisan,R-attack
161,neutral,personal,From: Rob Portman (Senator from Ohio),"Going to be talking w @GolfChannel about #MemorialTournament and my efforts for Congressional Gold Med for #GoldenBear, Jack Nicklaus",Rob Portman,Portman,R,R-neutral,R-personal
162,neutral,personal,From: Yvette Clarke (Representative from New York),RT @washingtonpost: A transcript of President Obama's speech http://t.co/D6i5rT1wpd #MarchonWashington #MOW50,Yvette Clarke,Clarke,D,D-neutral,D-personal
163,neutral,information,From: John Garamendi (Representative from California),MT @YubaSutterArts Do you know a student who wants his/her #art displayed at the US Capitol? http://t.co/ReyUuvxuix,John Garamendi,Garamendi,D,D-neutral,D-information
164,partisan,support,From: Rob Portman (Senator from Ohio),@SenRandPaul deserves an answer from Obama Admin questions abt use of force on U.S. Citizens in U.S.(http://t.co/xb7RkjYWCu),Rob Portman,Portman,R,R-partisan,R-support
